#SampleID	Cattle
#q2:types	categorical
Whitelands_2018_19_	no
Castle_Field_West__W_	yes
Toposcope_Field_-_1980s	yes
Bradenham_post-1986_b	yes
Lardon_Chase_The_Holies_motorcycle	no
Stonehenge_2000_2017a	yes
Stonehenge_2003_2017b	yes
Stonehenge_2009	no
Stonehenge_2007_2016	yes
Stonehenge_2005	no
Stonehenge_2002_2017	yes
Stonehenge_2010	yes
Stonehenge_2011	yes
Stonehenge_-_Luxenborough_BankB	no
Watlington_natural_reversion	no
St_Catherines_A3	yes
HARLEY_FARMS_Chittern	yes
HARLEY_FARMS_New1	yes
HARLEY_FARMS_new2b	no
WINDMILL_farm	yes
DRUIDS	yes
Stratton_Wood	no
WESTMEAD_FARM	no
RSPB_orig_green	yes
RSPB_churchil	no
RSPB_junction	no
RSPB_Mainline	no
Baltic_farm_1	yes
Baltic_farm_2	yes
WestEndFarm	no
HorntonHouseFarm_1_parallel	yes
TownsendFarm_1	no
TownsendFarm_2	no
TownsendFarm_3_big	no
ChurchFarm	yes
StowellFarms_1_adj	yes
MannorFmAltonBarnes	yes
HommingtonFarm	yes
ThropeManor_1	no
ThropeManor_2	no
ThropeManor_3	no
MannorFmBroadChalke	no
BigleyFm_1	yes
BigleyFm_2	yes
NorringtonMannorFm_1	no
NorringtonMannorFm_2	no
ManorFmBerwickStJohn_1	yes
ManorFmBerwickStJohn_3	yes
Jemma_1	yes
Jemma_2	yes
Jemma_7	no
Jemma_4	yes
Jemma_5	no
Jemma_6	no
Jemma_9	no
HomeFarm_WoodlandTrust_Hampshire_good_1c	yes
Crux_easton_70b1	no
Crux_easton_70b2	no
Martin_Down_arabel_reversion	no
Parsonage_down_reversion	yes
TARGET_MartinDown	no
TARGET_St_Catherines	no
TARGET_ParsonageDown	no
TARGET_KNEPP_A_New_Barn_Field	yes
Knepp_Pond_field	yes
Knepp_Benton_field	yes
