#SampleID	Cutting
#q2:types	categorical
Whitelands_2018_19_	no
Castle_Field_West__W_	no
Toposcope_Field_-_1980s	no
Bradenham_post-1986_b	no
Lardon_Chase_The_Holies_motorcycle	no
Stonehenge_2000_2017a	no
Stonehenge_2003_2017b	no
Stonehenge_2009	no
Stonehenge_2007_2016	no
Stonehenge_2005	no
Stonehenge_2002_2017	no
Stonehenge_2010	no
Stonehenge_2011	no
Stonehenge_-_Luxenborough_BankB	yes
Watlington_natural_reversion	no
St_Catherines_A3	yes
HARLEY_FARMS_Chittern	yes
HARLEY_FARMS_New1	no
HARLEY_FARMS_new2b	yes
WINDMILL_farm	yes
DRUIDS	yes
Stratton_Wood	yes
WESTMEAD_FARM	yes
RSPB_orig_green	no
RSPB_churchil	no
RSPB_junction	no
RSPB_Mainline	no
Baltic_farm_1	yes
Baltic_farm_2	yes
WestEndFarm	yes
HorntonHouseFarm_1_parallel	yes
TownsendFarm_1	yes
TownsendFarm_2	yes
TownsendFarm_3_big	yes
ChurchFarm	yes
StowellFarms_1_adj	yes
MannorFmAltonBarnes	yes
HommingtonFarm	yes
ThropeManor_1	yes
ThropeManor_2	yes
ThropeManor_3	yes
MannorFmBroadChalke	no
BigleyFm_1	yes
BigleyFm_2	yes
NorringtonMannorFm_1	no
NorringtonMannorFm_2	no
ManorFmBerwickStJohn_1	yes
ManorFmBerwickStJohn_3	yes
Jemma_1	yes
Jemma_2	no
Jemma_7	no
Jemma_4	yes
Jemma_5	yes
Jemma_6	yes
Jemma_9	yes
HomeFarm_WoodlandTrust_Hampshire_good_1c	no
Crux_easton_70b1	no
Crux_easton_70b2	yes
Martin_Down_arabel_reversion	no
Parsonage_down_reversion	no
TARGET_MartinDown	no
TARGET_St_Catherines	no
TARGET_ParsonageDown	no
TARGET_KNEPP_A_New_Barn_Field	no
Knepp_Pond_field	no
Knepp_Benton_field	no
