#SampleID	Age_group
#q2:types	categorical
Whitelands_2018_19_	0-10
Castle_Field_West__W_	11-20
Toposcope_Field_-_1980s	31-40
Bradenham_post-1986_b	31-40
Lardon_Chase_The_Holies_motorcycle	11-20
Stonehenge_2000_2017a	21-30
Stonehenge_2003_2017b	11-20
Stonehenge_2009	11-20
Stonehenge_2007_2016	11-20
Stonehenge_2005	11-20
Stonehenge_2002_2017	11-20
Stonehenge_2010	11-20
Stonehenge_2011	0-10
Stonehenge_-_Luxenborough_BankB	21-30
Watlington_natural_reversion	21-30
St_Catherines_A3	21-30
HARLEY_FARMS_Chittern	0-10
HARLEY_FARMS_New1	0-10
HARLEY_FARMS_new2b	0-10
WINDMILL_farm	31-40
DRUIDS	11-20
Stratton_Wood	21-30
WESTMEAD_FARM	21-30
RSPB_orig_green	11-20
RSPB_churchil	11-20
RSPB_junction	11-20
RSPB_Mainline	0-10
Baltic_farm_1	11-20
Baltic_farm_2	21-30
WestEndFarm	0-10
HorntonHouseFarm_1_parallel	0-10
TownsendFarm_1	0-10
TownsendFarm_2	11-20
TownsendFarm_3_big	0-10
ChurchFarm	0-10
StowellFarms_1_adj	0-10
MannorFmAltonBarnes	0-10
HommingtonFarm	0-10
ThropeManor_1	11-20
ThropeManor_2	21-30
ThropeManor_3	21-30
MannorFmBroadChalke	11-20
BigleyFm_1	0-10
BigleyFm_2	0-10
NorringtonMannorFm_1	11-20
NorringtonMannorFm_2	11-20
ManorFmBerwickStJohn_1	0-10
ManorFmBerwickStJohn_3	0-10
Jemma_1	11-20
Jemma_2	11-20
Jemma_7	0-10
Jemma_4	0-10
Jemma_5	0-10
Jemma_6	0-10
Jemma_9	0-10
HomeFarm_WoodlandTrust_Hampshire_good_1c	21-30
Crux_easton_70b1	21-30
Crux_easton_70b2	11-20
Martin_Down_arabel_reversion	61-70
Parsonage_down_reversion	71-100
TARGET_MartinDown	100+
TARGET_St_Catherines	100+
TARGET_ParsonageDown	100+
TARGET_KNEPP_A_New_Barn_Field	11-20
Knepp_Pond_field	11-20
Knepp_Benton_field	11-20
