#SampleID	pH_binary
#q2:types	categorical
Whitelands_2018_19_	AboveMedian
Castle_Field_West__W_	BelowMedian
Toposcope_Field_-_1980s	AboveMedian
Bradenham_post-1986_b	BelowMedian
Lardon_Chase_The_Holies_motorcycle	AboveMedian
Stonehenge_2000_2017a	BelowMedian
Stonehenge_2003_2017b	BelowMedian
Stonehenge_2009	BelowMedian
Stonehenge_2007_2016	BelowMedian
Stonehenge_2005	BelowMedian
Stonehenge_2002_2017	BelowMedian
Stonehenge_2010	BelowMedian
Stonehenge_2011	BelowMedian
Stonehenge_-_Luxenborough_BankB	BelowMedian
Watlington_natural_reversion	BelowMedian
St_Catherines_A3	BelowMedian
HARLEY_FARMS_Chittern	BelowMedian
HARLEY_FARMS_New1	BelowMedian
HARLEY_FARMS_new2b	BelowMedian
WINDMILL_farm	BelowMedian
DRUIDS	BelowMedian
Stratton_Wood	BelowMedian
WESTMEAD_FARM	BelowMedian
RSPB_orig_green	AboveMedian
RSPB_churchil	AboveMedian
RSPB_junction	AboveMedian
RSPB_Mainline	AboveMedian
Baltic_farm_1	AboveMedian
Baltic_farm_2	AboveMedian
WestEndFarm	AboveMedian
HorntonHouseFarm_1_parallel	AboveMedian
TownsendFarm_1	AboveMedian
TownsendFarm_2	AboveMedian
TownsendFarm_3_big	BelowMedian
ChurchFarm	AboveMedian
StowellFarms_1_adj	BelowMedian
MannorFmAltonBarnes	AboveMedian
HommingtonFarm	AboveMedian
ThropeManor_1	BelowMedian
ThropeManor_2	BelowMedian
ThropeManor_3	AboveMedian
MannorFmBroadChalke	AboveMedian
BigleyFm_1	AboveMedian
BigleyFm_2	BelowMedian
NorringtonMannorFm_1	BelowMedian
NorringtonMannorFm_2	AboveMedian
ManorFmBerwickStJohn_1	BelowMedian
ManorFmBerwickStJohn_3	AboveMedian
Jemma_1	AboveMedian
Jemma_2	AboveMedian
Jemma_7	AboveMedian
Jemma_4	BelowMedian
Jemma_5	AboveMedian
Jemma_6	AboveMedian
Jemma_9	AboveMedian
HomeFarm_WoodlandTrust_Hampshire_good_1c	BelowMedian
Crux_easton_70b1	BelowMedian
Crux_easton_70b2	AboveMedian
Martin_Down_arabel_reversion	AboveMedian
Parsonage_down_reversion	AboveMedian
TARGET_MartinDown	AboveMedian
TARGET_St_Catherines	AboveMedian
TARGET_ParsonageDown	AboveMedian
TARGET_KNEPP_A_New_Barn_Field	BelowMedian
Knepp_Pond_field	BelowMedian
Knepp_Benton_field	BelowMedian
