	pielou_evenness
Whitelands_2018/19_	0.9377921505897837
Castle_Field_West_(W)	0.9156179245546834
Toposcope_Field_-_1980s	0.9259621375509671
Bradenham_post-1986_b	0.9244171369259576
Lardon_Chase_The_Holies_motorcycle	0.7719876886157249
Stonehenge_2000_2017a	0.9244591616353374
Stonehenge_2003_2017b	0.9235891827713429
Stonehenge_2009	0.9218378069578521
Stonehenge_2007_2016	0.9269493470046462
Stonehenge_2005	0.9268465091363026
Stonehenge_2002_2017	0.9244813600074683
Stonehenge_2010	0.9220401592800911
Stonehenge_2011	0.9249358975723648
Stonehenge_-_Luxenborough_BankB	0.9240772547346785
Watlington_natural_reversion	0.9126985738503705
St_Catherines_A3	0.9115689261832509
HARLEY_FARMS_Chittern	0.9270916052982091
HARLEY_FARMS_New1	0.9221076047694126
HARLEY_FARMS_new2b	0.9178860076219796
WINDMILL_farm	0.8949898850648756
DRUIDS	0.9073196446982466
Stratton_Wood	0.9248781906545053
WESTMEAD_FARM	0.9299091185749204
RSPB_orig_green	0.9216745260080608
RSPB_churchil	0.9213613493964862
RSPB_junction	0.9205408957392103
RSPB_Mainline	0.9232818896274941
Baltic_farm_1	0.8735746789013099
Baltic_farm_2	0.9055854336660754
WestEndFarm	0.8907647225559281
HorntonHouseFarm_1_parallel	0.9189514105023355
TownsendFarm_1	0.8939811683294724
TownsendFarm_2	0.9228097302982375
TownsendFarm_3_big	0.908094845955845
ChurchFarm	0.9219452071919151
StowellFarms_1_adj	0.8157152360079887
MannorFmAltonBarnes	0.9297649235359556
HommingtonFarm	0.926471306617483
ThropeManor_1	0.8618059509602174
ThropeManor_2	0.8683100073211603
ThropeManor_3	0.9068543871057662
MannorFmBroadChalke	0.9165477998826286
BigleyFm_1	0.8733256620070713
BigleyFm_2	0.8505647256912835
NorringtonMannorFm_1	0.9167467196992822
NorringtonMannorFm_2	0.9302205446766731
ManorFmBerwickStJohn_1	0.8844221255627202
ManorFmBerwickStJohn_3	0.8884195676264054
Jemma_1	0.9167714840234724
Jemma_2	0.9030991897146627
Jemma_7	0.9133651303542536
Jemma_4	0.918024665386085
Jemma_5	0.9157375714452399
Jemma_6	0.9311410053450853
Jemma_9	0.9013507353278459
HomeFarm_WoodlandTrust_Hampshire_good_1c	0.9106258052112247
Crux_easton_70b1	0.9050032249079788
Crux_easton_70b2	0.9028455427032461
Martin_Down_arabel_reversion	0.9039254366981853
Parsonage_down_reversion	0.8984072316224765
TARGET_MartinDown	0.8944242814126666
TARGET_St_Catherines	0.876153983936936
TARGET_ParsonageDown	0.8805910304973423
TARGET_KNEPP_A New_Barn_Field	0.9035070799436808
Knepp_Pond_field	0.8503310397474778
Knepp_Benton_field	0.8907519248284753
