,0
TownsendFarm_1,42946.0
Bradenham_post-1986_b,39538.0
Stonehenge_2011,39326.0
Stonehenge_2009,38690.0
RSPB_junction,38603.0
Stonehenge_2000_2017a,38504.0
TownsendFarm_3_big,37937.0
StowellFarms_1_adj,37901.0
Stonehenge_2002_2017,36570.0
Stonehenge_2005,36346.0
Watlington_natural_reversion,35772.0
HARLEY_FARMS_New1,35726.0
HARLEY_FARMS_Chittern,35642.0
HARLEY_FARMS_new2b,35630.0
Stonehenge_2007_2016,35339.0
Stonehenge_2003_2017b,35169.0
Stonehenge_-_Luxenborough_BankB,34598.0
Toposcope_Field_-_1980s,33224.0
DRUIDS,32519.0
Stonehenge_2010,32292.0
Stratton_Wood,29263.0
ChurchFarm,29146.0
RSPB_orig_green,28826.0
RSPB_Mainline,28713.0
St_Catherines_A3,27693.0
TownsendFarm_2,25856.0
Whitelands_2018/19_,25680.0
Castle_Field_West_(W),24979.0
RSPB_churchil,24264.0
Baltic_farm_2,24064.0
Crux_easton_70b1,22944.0
WINDMILL_farm,22761.0
HorntonHouseFarm_1_parallel,21680.0
HommingtonFarm,21063.0
Jemma_5,19441.0
Lardon_Chase_The_Holies_motorcycle,18721.0
WESTMEAD_FARM,18226.0
Jemma_6,17843.0
Baltic_farm_1,17279.0
Crux_easton_70b2,17256.0
Jemma_7,16612.0
MannorFmAltonBarnes,16267.0
Jemma_2,15048.0
Jemma_1,14265.0
Jemma_9,14148.0
TARGET_St_Catherines,14056.0
WestEndFarm,13985.0
NorringtonMannorFm_2,13815.0
ThropeManor_3,13807.0
TARGET_ParsonageDown,13778.0
HomeFarm_WoodlandTrust_Hampshire_good_1c,13762.0
BigleyFm_1,13585.0
ManorFmBerwickStJohn_3,13264.0
Knepp_Pond_field,13020.0
ManorFmBerwickStJohn_1,12934.0
BigleyFm_2,12756.0
MannorFmBroadChalke,12750.0
ThropeManor_2,12626.0
Parsonage_down_reversion,12616.0
NorringtonMannorFm_1,12594.0
ThropeManor_1,11842.0
Knepp_Benton_field,11474.0
Martin_Down_arabel_reversion,10844.0
TARGET_MartinDown,10734.0
Jemma_4,10026.0
TARGET_KNEPP_A New_Barn_Field,9473.0
